sim_id	d	r	kmercov	bias	length	kmercov1	kmercov2	bias.1	length.1	het	CI_l_prop	CI_u_prop	theta	X	maternal	paternal	mapping_monosomic	mapping_disomic	simulated_sperm	two_tissue_sperm	mapping_sperm
95174	0.00494088014811323	0.00196681221819867	7.182456673309	0.00627758296287569	18824412.3049603	6.64203062906616	14.3273023267677	0.0328912914978199	19581465.5941287	0.0686171812643013	0.442916427749249	0.484268673476243	1e-04	1	10	10	10.027235936684	20.2976136501521	0	-0.15706658503953	-0.0242481356097926
95175	0.00425440931282176	0.00193428794889441	7.17439575109802	0.00716056644693699	18855339.391384	6.6909210727369	14.3148509064195	0.0307165622876437	19602689.7217431	0.0683064679464935	0.446446013332727	0.488376307413397	0.001	1	10	10	9.95315556639298	20.3423729246389	0	-0.13944399445203	-0.0438114112598937
95176	0.0045955391091646	0.00204392283768396	7.2023136425739	0.014204833801559	18782069.8902477	6.70176639053382	14.3677041990811	0.0398286369237175	19568678.5791316	0.0717604340156005	0.446867911027583	0.486025235667686	0.003	1	10	10	9.99736610920612	20.1012582445236	0	-0.143868252312606	-0.0106554091295372
95177	0.00353135123050368	0.00202010812822627	7.20190380212348	0.0120189217168722	18807605.1215906	6.67340734312033	14.3641325189895	0.0371546692935405	19602199.35196	0.0706695171868114	0.445349451572214	0.483827069780266	0.005	1	10	10	10.0140760534992	20.3345663107232	0	-0.152443539026222	-0.0305983499713616
95178	0.00367564272387971	0.00344798311149396	7.20585110530473	0.0136952472824495	18308181.3742201	6.8827779196137	14.3699636504499	0.0390490655594445	19606354.1309125	0.121719495522646	0.468840885540459	0.48909861758392	1e-04	2	10	10	9.98603408857172	20.2677830604708	0	-0.0878145159238879	-0.0296128453702942
95179	0.00451507468334405	0.00332978556479086	7.18194452631962	0.0070439403913327	18364350.5618766	6.84435871245775	14.3229586830413	0.0336097039479545	19615049.4177586	0.117501306043299	0.46678515661566	0.488933401807837	0.001	2	10	10	9.80483684223771	20.0847131967476	0	-0.0926662795991955	-0.0484495071071231
95180	0.00390863971842039	0.00339519671804963	7.19155523787054	0.0104334683359896	18349550.9359702	6.87341641264155	14.3430005739781	0.0354675434434326	19627259.6879888	0.120114323560118	0.469301063103641	0.489133872067692	0.003	2	10	10	9.91900469179637	20.2231583857901	0	-0.0867352875054292	-0.0388294001429297
95181	0.00397483832266144	0.00343361684188462	7.19783418568007	0.00946983429998447	18338409.9532777	6.90542818666979	14.3585684296715	0.0333137287721348	19624656.0604022	0.121991524487966	0.470219341578	0.491635347556601	0.005	2	10	10	9.91363089416527	20.3852458837689	0	-0.079316161362625	-0.0562845340314986
95182	0.00291821408388409	0.00835555592396271	7.20923237029462	0.0142492410487161	16871786.6009938	7.02174566484813	14.3737568194764	0.0325613116864069	19646924.4329961	0.270197795859393	0.484919441059203	0.492103581249579	1e-04	5	10	10	10.01547781965	20.4527688055871	0	-0.0470346699444695	-0.0421161300421953
95183	0.00369643271308439	0.00850838199840775	7.22501508533863	0.00488987636417084	16824268.2548732	7.01037456006751	14.40095112467	0.0256158349200009	19644238.1233091	0.273310313242496	0.483293518963488	0.490305307860963	0.001	5	10	10	9.99192552895027	20.2996904125713	0	-0.0542341926636396	-0.0316094584327773
95184	0.00311192921955748	0.00846188130137813	7.2125967138104	0.0133841494492964	16866644.869164	7.0103066689077	14.3773881981349	0.0326135105393922	19677900.5130134	0.272441818239988	0.484147698851912	0.491037303082877	0.003	5	10	10	9.94797323136949	20.3223769168427	0	-0.0508929034305843	-0.0428660636881324
95185	0.00372474568594976	0.00828719440524743	7.1926243514972	0.0207752747594415	16902287.540164	6.97965486843288	14.3354295850428	0.0418868305970547	19664756.59016	0.267388827010336	0.483672017457907	0.490090900078271	0.005	5	10	10	9.89194928211784	20.2906311956656	0	-0.0538880296041755	-0.0512267720929347
95186	0.477390989610138	0.000650450334729093	3.63156843692124	8.45468714468319e-07	19343653.6232922	7.06297111904399	14.4729761402903	0.0271536532643176	19677942.5046978	0.522341585409965	0.486812323245138	0.489209615930441	1e-04	10	10	10	10.0121816257609	20.4188660350663	0	-0.0491342660692193	-0.0394022799715759
95187	0.483225836265327	0.000615513579360065	3.6103483888918	9.27174659122772e-05	19405450.2210088	7.03403008179196	14.3897472760487	0.0296249385366645	19728071.3342777	0.516821411375445	0.487776735522836	0.489867964811814	0.001	10	10	10	9.95963226199758	20.3197873758497	0	-0.0457329736614984	-0.0402146225200295
95188	0.481860454661589	0.000593674362692935	3.61337070608423	1.58987561936821e-05	19380960.8329797	7.04009452827154	14.4059917119735	0.0239556938495411	19688031.7165271	0.517814267292633	0.487478892384382	0.489905333433293	0.003	10	10	10	10.0192049658064	20.2006822061727	0	-0.0462781648914039	-0.0161961228574228
95189	0.483056224298207	0.000661173512578697	3.61951215339617	3.89192112124938e-05	19354327.8015367	7.05054396239438	14.4048055484089	0.036299331395376	19689651.9827828	0.517255038860842	0.487954529655603	0.490961004983202	0.005	10	10	10	9.97318873438167	20.3382835000412	0	-0.0430771902480267	-0.0392959605714467
95190	0.00408785475282091	0.00193759153734445	7.14903556038669	0.0177665063338988	18837101.7826172	6.60928048678965	14.2596716951129	0.0434119661115109	19593193.3800111	0.0675468599955401	0.442963969202854	0.484025182876265	1e-04	1	10	9.9	9.90450060908083	19.8798146984066	0.01	-0.157522550845667	-0.0071496265223121
95191	0.00401888369923487	0.00197822056322338	7.15326536432043	0.012208229069035	18834058.067563	6.69622486588426	14.2732050487751	0.0350465514436239	19598669.1176109	0.0701157311192123	0.449754730232195	0.48853836413611	0.001	1	10	9.9	9.9152579272207	20.1688497892006	0.01	-0.131530128489834	-0.0341225550805249
95192	0.00446826898593511	0.00199728036575768	7.15383558135496	0.00928580828200961	18823102.9354493	6.66096761473358	14.2721135220319	0.0340133344068259	19593480.8284232	0.070258185181002	0.447174643299806	0.486249492438889	0.003	1	10	9.9	9.96176875717426	20.0443218845967	0.01	-0.14264868822707	-0.0121247916100435
95193	0.00372675903871836	0.00203714768616183	7.17523110278034	0.0180262382859032	18771398.2018041	6.68037229381747	14.3127489225499	0.0426007814146524	19565156.280913	0.0715682091703055	0.446418467515278	0.487067102582643	0.005	1	10	9.9	10.097651617479	20.0592532455292	0.01	-0.142507676674849	0.0134734287320133
