scf	len	male_coverage	female_coverage	chr
LJIJ01000001.1	807113	105.28	58.14	A
LJIJ01000002.1	799473	58.38	57.90	X
LJIJ01000003.1	781634	62.37	55.63	X
LJIJ01000004.1	768098	55.07	58.63	X
LJIJ01000005.1	766980	104.34	55.91	A
LJIJ01000006.1	766672	103.12	55.55	A
LJIJ01000007.1	759029	105.71	55.72	A
LJIJ01000008.1	755649	104.13	56.63	A
LJIJ01000009.1	706499	85.56	59.49	A
LJIJ01000010.1	689914	104.39	57.39	A
LJIJ01000011.1	672161	102.29	56.68	A
LJIJ01000012.1	666828	102.72	55.78	A
LJIJ01000013.1	616929	104.82	58.18	A
LJIJ01000014.1	615378	98.93	55.19	A
LJIJ01000015.1	611572	104.47	57.57	A
LJIJ01000016.1	571723	104.44	56.18	A
LJIJ01000017.1	560593	104.72	55.30	A
LJIJ01000018.1	560369	100.96	56.07	A
LJIJ01000019.1	557622	52.66	56.43	X
LJIJ01000020.1	551401	100.95	53.74	A
LJIJ01000021.1	520054	101.92	56.54	A
LJIJ01000022.1	500078	102.80	58.49	A
LJIJ01000023.1	485148	102.15	55.18	A
LJIJ01000024.1	477709	108.06	59.14	A
LJIJ01000025.1	472337	96.20	53.29	A
LJIJ01000026.1	467413	58.28	54.45	X
LJIJ01000027.1	464148	105.23	57.93	A
LJIJ01000028.1	461905	101.17	53.45	A
LJIJ01000029.1	459130	106.42	59.08	A
LJIJ01000030.1	458414	102.84	56.99	A
LJIJ01000031.1	458171	102.60	55.81	A
LJIJ01000032.1	458118	89.93	57.35	A
LJIJ01000033.1	450012	53.95	57.81	X
LJIJ01000034.1	443417	105.29	57.77	A
LJIJ01000035.1	442083	98.37	53.90	A
LJIJ01000036.1	435307	96.43	49.21	A
LJIJ01000037.1	428400	103.32	56.75	A
LJIJ01000038.1	427203	102.18	56.36	A
LJIJ01000039.1	426346	91.21	58.56	A
LJIJ01000040.1	411369	102.19	57.13	A
LJIJ01000041.1	410411	103.73	54.38	A
LJIJ01000042.1	402338	100.92	55.62	A
LJIJ01000043.1	401490	113.62	59.00	A
LJIJ01000044.1	400283	53.08	56.13	X
LJIJ01000045.1	396763	54.69	58.91	X
LJIJ01000046.1	393554	83.16	57.54	A
LJIJ01000047.1	390960	100.19	54.72	A
LJIJ01000048.1	390458	103.19	57.29	A
LJIJ01000049.1	388673	102.87	58.64	A
LJIJ01000050.1	388459	103.01	52.89	A
LJIJ01000051.1	385360	52.35	57.62	X
LJIJ01000052.1	384109	99.73	53.55	A
LJIJ01000053.1	384109	52.43	55.89	X
LJIJ01000054.1	380107	50.97	52.70	X
LJIJ01000055.1	379351	101.82	54.15	A
LJIJ01000056.1	378546	52.56	56.53	X
LJIJ01000057.1	377305	102.79	56.46	A
LJIJ01000058.1	376958	100.93	54.75	A
LJIJ01000059.1	372407	54.42	58.31	X
LJIJ01000060.1	370631	100.59	55.45	A
LJIJ01000061.1	369743	109.81	58.05	A
LJIJ01000062.1	369278	59.51	59.83	X
LJIJ01000063.1	369230	101.28	56.25	A
LJIJ01000064.1	368694	111.59	63.16	A
LJIJ01000065.1	365022	103.14	55.70	A
LJIJ01000066.1	361778	75.63	56.47	A
LJIJ01000067.1	356486	103.47	57.07	A
LJIJ01000068.1	355517	98.19	54.59	A
LJIJ01000069.1	352436	74.00	55.60	A
LJIJ01000070.1	346976	100.13	52.91	A
LJIJ01000071.1	346588	103.26	56.61	A
LJIJ01000072.1	344887	100.58	55.50	A
LJIJ01000073.1	344028	101.79	56.89	A
LJIJ01000074.1	343046	55.91	60.35	X
LJIJ01000075.1	342410	52.85	55.69	X
LJIJ01000076.1	341924	101.16	53.14	A
LJIJ01000077.1	341051	98.59	54.92	A
LJIJ01000078.1	337581	101.65	56.51	A
LJIJ01000079.1	336794	104.01	57.86	A
LJIJ01000080.1	333855	58.22	59.26	X
LJIJ01000081.1	333698	55.50	59.28	X
LJIJ01000082.1	331241	99.24	56.70	A
LJIJ01000083.1	330262	103.36	57.07	A
LJIJ01000084.1	326630	51.50	57.99	X
LJIJ01000085.1	326257	62.17	55.20	X
LJIJ01000086.1	324572	59.33	59.22	X
LJIJ01000087.1	321080	105.48	56.66	A
LJIJ01000088.1	318589	101.52	54.99	A
LJIJ01000089.1	317599	102.02	55.36	A
LJIJ01000090.1	316754	101.68	54.68	A
LJIJ01000091.1	315961	102.18	59.83	A
LJIJ01000092.1	315482	105.12	57.32	A
LJIJ01000093.1	313529	101.03	56.08	A
LJIJ01000094.1	310750	107.16	58.82	A
LJIJ01000095.1	310100	109.05	58.83	A
LJIJ01000096.1	309603	104.08	55.90	A
LJIJ01000097.1	304258	101.19	55.36	A
